date,covid,covid_unsmoothed,lower_ci,upper_ci,level,activity_category
2025-03-17,295.00151361424815,322.77600213321733,218.7771462772997,426.77485798913494,high,not calculated
2025-03-19,327.0286226711731,189.49489712308488,149.11734648110922,229.8724477650605,high,not calculated
2025-03-21,319.0488283377595,368.4313926524362,301.42166522859526,435.44112007627723,high,not calculated
2025-03-24,334.2672918441658,323.34432740426496,262.01630401733456,384.67235079119536,high,not calculated
2025-03-26,380.7605052704719,311.0261554757962,275.23123832927,346.82107262232233,high,not calculated
2025-03-28,361.62542621159184,450.5057957547145,345.42768694871745,555.5839045607115,high,not calculated
2025-03-31,405.247326385285,779.3003728113049,698.3613485586184,860.2393970639913,high,not calculated
2025-04-02,522.2771771678822,164.93462691187847,135.41387138585506,194.45538243790185,high,not calculated
2025-04-04,442.6477733895561,454.21002792534455,392.91225430075093,515.5078015499382,high,not calculated
2025-04-07,276.9207464189864,662.1157078235876,244.49276538697322,1079.7386502602021,high,not calculated
2025-04-09,300.7863709233412,211.61758441973612,140.74317908299494,282.4919897564773,high,not calculated
2025-04-11,214.85744895977945,156.58807392925516,126.49836648731468,186.6777813711956,high,not calculated
2025-04-14,214.85744895977945,236.53150042494303,190.15613418082094,282.9068666690651,high,not calculated
2025-04-16,246.3452815180237,196.4232620346592,123.20027095438346,269.6462531149349,high,not calculated
2025-04-18,246.3452815180237,306.08108209446897,247.38575732080787,364.77640686813004,high,not calculated
2025-04-21,226.1568546698555,348.33913450872865,283.7303647951361,412.94790422232126,high,not calculated
2025-04-23,276.7954788278787,175.96621988043844,154.72445689621645,197.2079828646604,high,not calculated
2025-04-25,250.78531141209172,152.0675597701866,92.64611145843996,211.4890080819332,high,not calculated
2025-04-28,228.47937330824854,488.86889093383803,351.251206794752,626.4865750729241,high,not calculated
2025-04-30,231.91581374180151,228.05057984710794,149.10879385351788,306.992365840698,high,not calculated
2025-05-02,231.91581374180151,281.42132019719924,205.46500125838077,357.3776391360177,high,not calculated
2025-05-05,185.63508116743654,186.27554118109728,148.93737844351463,223.61370391867996,high,not calculated
2025-05-07,203.4253279508003,99.99211288989326,80.58447130103265,119.39975447875388,high,not calculated
2025-05-09,158.9631591028439,142.57912247410437,93.84951718642994,191.30872776177878,high,not calculated
2025-05-12,271.89037490342105,525.0571885828288,428.7246311717014,621.389745993956,high,not calculated
2025-05-14,271.89037490342105,148.03481365333,109.57766465694223,186.49196264971775,high,not calculated
2025-05-16,270.63825239578637,741.6369196631143,589.6781815367578,893.5956577894707,high,not calculated
2025-05-19,157.1165970813721,138.8227549512004,99.30823471589149,178.33727518650934,high,not calculated
2025-05-21,202.49928541752752,95.36725236404989,68.19635111486446,122.53815361323531,high,not calculated
2025-05-23,202.49928541752752,184.492222639586,130.89110423829968,238.09334104087236,high,not calculated
2025-05-26,246.6724458674284,284.18287866179605,228.30094273938494,340.06481458420717,high,not calculated
2025-05-28,276.35102977787,311.8018550080422,267.7840564939177,355.8196535221667,high,not calculated
2025-05-30,276.35102977787,271.3422363009032,213.94784878057195,328.73662382123445,high,not calculated
2025-06-02,241.46647976398378,273.52797437091067,225.54634372318074,321.5096050186405,high,not calculated
2025-06-04,205.9867672482913,179.52922862013756,122.14631997700006,236.91213726327504,high,not calculated
2025-06-06,206.71534660496044,167.08883682383316,133.0896088817832,201.08806476588313,high,not calculated
2025-06-09,210.60074474820087,122.47011801996949,81.40139289242461,163.53884314751437,high,not calculated
